AÑO,TRIMESTRE,PROVEEDOR,SEGMENTO,TRÁFICO (MB)
2024,4,ALMACENES EXITO INVERSIONES S.A.S.,PREPAGO,5226032101
2024,4,COLOMBIA MOVIL  S.A ESP,POSPAGO,1326126
2024,4,COLOMBIA MOVIL  S.A ESP,PREPAGO,117532477778
2024,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,272756
2024,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,80378046880
2024,4,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,330150975786
2024,4,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,4162367
2024,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,PREPAGO,1318637918
2024,4,LIWA SAS ESP,PREPAGO,76582400
2024,4,LOGISTICA FLASH COLOMBIA S.A.S,PREPAGO,854190058
2024,4,LOV TELECOMUNICACIONES SAS,PREPAGO,106264788
2024,4,PARTNERS TELECOM COLOMBIA SAS,PREPAGO,24703353217
2024,4,PLINTRON COLOMBIA SAS,PREPAGO,6843918
2024,4,SUMA MOVIL S.A.S.,PREPAGO,234805342
2024,4,VIRGIN MOBILE COLOMBIA S.A.S.,PREPAGO,7744390388
2025,1,ALMACENES EXITO INVERSIONES S.A.S.,PREPAGO,5248974437
2025,1,COLOMBIA MOVIL  S.A ESP,PREPAGO,113578959618
2025,1,COLOMBIA MOVIL  S.A ESP,POSPAGO,1177974
2025,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,84577804597
2025,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,123632
2025,1,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,327501327442
2025,1,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,3550742
2025,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,PREPAGO,1204531927
2025,1,INSIDENET SAS,POSPAGO,900
2025,1,LIWA SAS ESP,PREPAGO,80217988
2025,1,LOGISTICA FLASH COLOMBIA S.A.S,PREPAGO,223167603
2025,1,LOV TELECOMUNICACIONES SAS,PREPAGO,200945793
2025,1,PARTNERS TELECOM COLOMBIA SAS,PREPAGO,24872399554
2025,1,PLINTRON COLOMBIA SAS,PREPAGO,10680179
2025,1,SUMA MOVIL S.A.S.,PREPAGO,240231629
2025,1,VIRGIN MOBILE COLOMBIA S.A.S.,PREPAGO,7159008664
2025,2,ALMACENES EXITO INVERSIONES S.A.S.,PREPAGO,5796547777
2025,2,COLOMBIA MOVIL  S.A ESP,PREPAGO,117225195976
2025,2,COLOMBIA MOVIL  S.A ESP,POSPAGO,1258289
2025,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,294846
2025,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,97669956394
2025,2,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,4491985
2025,2,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,336336364074
2025,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,PREPAGO,1054830502
2025,2,LIWA SAS ESP,PREPAGO,80492338
2025,2,LOGISTICA FLASH COLOMBIA S.A.S,PREPAGO,0
2025,2,LOV TELECOMUNICACIONES SAS,PREPAGO,135605791
2025,2,PARTNERS TELECOM COLOMBIA SAS,PREPAGO,27045372047
2025,2,PLINTRON COLOMBIA SAS,PREPAGO,20805536
2025,2,SUMA MOVIL S.A.S.,PREPAGO,287977510
2025,2,VIRGIN MOBILE COLOMBIA S.A.S.,PREPAGO,6908909941
2025,3,ALMACENES EXITO INVERSIONES S.A.S.,PREPAGO,6063065519
2025,3,Blue Skill Ltda,POSPAGO,0
2025,3,COLOMBIA MOVIL  S.A ESP,POSPAGO,1407510
2025,3,COLOMBIA MOVIL  S.A ESP,PREPAGO,118252025566
2025,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,388204
2025,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,108253094766
2025,3,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,4118289
2025,3,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,350901285847
2025,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,PREPAGO,944594653
2025,3,LIWA SAS ESP,PREPAGO,78701669
2025,3,LOGISTICA FLASH COLOMBIA S.A.S,PREPAGO,0
2025,3,LOV TELECOMUNICACIONES SAS,PREPAGO,225945000
2025,3,PARTNERS TELECOM COLOMBIA SAS,PREPAGO,28190391408
2025,3,PLINTRON COLOMBIA SAS,PREPAGO,48113443
2025,3,SUMA MOVIL S.A.S.,PREPAGO,316967236
2025,3,VIRGIN MOBILE COLOMBIA S.A.S.,PREPAGO,9361145130
2025,4,ALMACENES EXITO INVERSIONES S.A.S.,PREPAGO,6205728041
2025,4,COLOMBIA MOVIL  S.A ESP,PREPAGO,116716719840
2025,4,COLOMBIA MOVIL  S.A ESP,POSPAGO,1083154
2025,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,POSPAGO,706706
2025,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,PREPAGO,117626530607
2025,4,COMUNICACION CELULAR S A COMCEL S A,POSPAGO,3667470
2025,4,COMUNICACION CELULAR S A COMCEL S A,PREPAGO,373393350513
2025,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,PREPAGO,881293304
2025,4,LIWA SAS ESP,PREPAGO,76580299
2025,4,LOV TELECOMUNICACIONES SAS,PREPAGO,237737637
2025,4,PARTNERS TELECOM COLOMBIA SAS,PREPAGO,30556955036
2025,4,PLINTRON COLOMBIA SAS,PREPAGO,89893903
2025,4,SUMA MOVIL S.A.S.,PREPAGO,308940575
2025,4,VIRGIN MOBILE COLOMBIA S.A.S.,PREPAGO,7988331665
