AÑO,TRIMESTRE,PROVEEDOR,CONSUMO PREPAGO,CONSUMO POSPAGO,INGRESOS OPERACIONALES
2024,3,COLOMBIA MOVIL  S.A ESP,33280888808,62693136311,95974025119
2024,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,7550118232,120101849637,127651967869
2024,3,COMUNICACION CELULAR S A COMCEL S A,86305020469,185205090153,271510110622
2024,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,335773387,1250105858,1585879245
2024,3,LIWA SAS ESP,13632958,0,13632958
2024,3,LOGISTICA FLASH COLOMBIA S.A.S,791389748,0,791389748
2024,3,LOV TELECOMUNICACIONES SAS,10514558,0,10514558
2024,3,PARTNERS TELECOM COLOMBIA SAS,746410608,12608304110,13354714718
2024,3,SUMA MOVIL S.A.S.,39529170,0,39529170
2024,3,VIRGIN MOBILE COLOMBIA S.A.S.,3522589265,0,3522589265
2024,4,ALMACENES EXITO INVERSIONES S.A.S.,2992924805,0,2992924805
2024,4,COLOMBIA MOVIL  S.A ESP,35938975444,63314982772,99253958216
2024,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,7924182184,133152181512,141076363696
2024,4,COMUNICACION CELULAR S A COMCEL S A,88332504314,189004702939,277337207253
2024,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,295452914,1243160744,1538613658
2024,4,LIWA SAS ESP,15685854,0,15685854
2024,4,LOGISTICA FLASH COLOMBIA S.A.S,270012789,0,270012789
2024,4,LOV TELECOMUNICACIONES SAS,10007920,0,10007920
2024,4,PARTNERS TELECOM COLOMBIA SAS,848858661,12212119574,13060978235
2024,4,PLINTRON COLOMBIA SAS,386550,0,386550
2024,4,SUMA MOVIL S.A.S.,40564506,0,40564506
2024,4,VIRGIN MOBILE COLOMBIA S.A.S.,3562424737,0,3562424737
2025,1,ALMACENES EXITO INVERSIONES S.A.S.,3041947302,0,3041947302
2025,1,COLOMBIA MOVIL  S.A ESP,34079089369,65583935858,99663025227
2025,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,6997260289,130248589209,137245849498
2025,1,COMUNICACION CELULAR S A COMCEL S A,85815551957,109517203535,195332755492
2025,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,252063099,1125490960,1377554059
2025,1,LIWA SAS ESP,18059182,0,18059182
2025,1,LOGISTICA FLASH COLOMBIA S.A.S,44369455,0,44369455
2025,1,LOV TELECOMUNICACIONES SAS,10594785,0,10594785
2025,1,PARTNERS TELECOM COLOMBIA SAS,583544322,12473212434,13056756756
2025,1,PLINTRON COLOMBIA SAS,520607,0,520607
2025,1,SUMA MOVIL S.A.S.,42917979,0,42917979
2025,1,VIRGIN MOBILE COLOMBIA S.A.S.,3060031696,0,3060031696
2025,2,ALMACENES EXITO INVERSIONES S.A.S.,3164068315,0,3164068315
2025,2,COLOMBIA MOVIL  S.A ESP,34682386861,65774272585,100456659446
2025,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,6815011855,131062161903,137877173758
2025,2,COMUNICACION CELULAR S A COMCEL S A,88116701139,66311596927,154428298066
2025,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,152383176,1167645200,1320028376
2025,2,LIWA SAS ESP,20613361,0,20613361
2025,2,LOGISTICA FLASH COLOMBIA S.A.S,0,0,0
2025,2,LOV TELECOMUNICACIONES SAS,12935518,0,12935518
2025,2,PARTNERS TELECOM COLOMBIA SAS,5516756686,12096249123,17613005809
2025,2,PLINTRON COLOMBIA SAS,1005131,0,1005131
2025,2,SUMA MOVIL S.A.S.,45444495,0,45444495
2025,2,VIRGIN MOBILE COLOMBIA S.A.S.,2009245108,0,2009245108
2025,3,ALMACENES EXITO INVERSIONES S.A.S.,3297624401,0,3297624401
2025,3,COLOMBIA MOVIL  S.A ESP,36303661526,67218666617,103522328143
2025,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,6881480179,132735910871,139617391050
2025,3,COMUNICACION CELULAR S A COMCEL S A,89531712268,68826883777,158358596045
2025,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,496437562,996614040,1493051602
2025,3,LIWA SAS ESP,24636012,0,24636012
2025,3,LOGISTICA FLASH COLOMBIA S.A.S,0,0,0
2025,3,LOV TELECOMUNICACIONES SAS,10812365,0,10812365
2025,3,PARTNERS TELECOM COLOMBIA SAS,4883997191,10823706545,15707703736
2025,3,PLINTRON COLOMBIA SAS,1746493,0,1746493
2025,3,SUMA MOVIL S.A.S.,42830593,0,42830593
2025,3,VIRGIN MOBILE COLOMBIA S.A.S.,2292419297,0,2292419297
2025,4,ALMACENES EXITO INVERSIONES S.A.S.,3453168290,0,3453168290
2025,4,COLOMBIA MOVIL  S.A ESP,36416380907,67605767293,104022148200
2025,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,6984562475,138893182187,145877744662
2025,4,COMUNICACION CELULAR S A COMCEL S A,89617534112,72072579367,161690113479
2025,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,618896989,976097912,1594994901
2025,4,LIWA SAS ESP,24559321,0,24559321
2025,4,LOV TELECOMUNICACIONES SAS,10576543,0,10576543
2025,4,PARTNERS TELECOM COLOMBIA SAS,6039611180,3983114345,10022725525
2025,4,PLINTRON COLOMBIA SAS,3084760,0,3084760
2025,4,SUMA MOVIL S.A.S.,39562469,0,39562469
2025,4,VIRGIN MOBILE COLOMBIA S.A.S.,2130344867,0,2130344867
